
permutación 01234, P_n = 0
permutación 07123645, P_n = 5
permutación 07123654, P_n = 4
permutación 07124356, P_n = 6
permutación 07124365, P_n = 6
permutación 07124536, P_n = 6
permutación 07124563, P_n = 5
permutación 07124635, P_n = 7
permutación 07124653, P_n = 6
permutación 07125346, P_n = 6
permutación 07125364, P_n = 7
permutación 07125436, P_n = 6
permutación 07125463, P_n = 6
permutación 07125634, P_n = 6
permutación 07125643, P_n = 5
permutación 07126345, P_n = 5
permutación 07126354, P_n = 6
permutación 07126435, P_n = 6
permutación 07126453, P_n = 7
permutación 07126534, P_n = 5
permutación 07126543, P_n = 4
permutación 07132456, P_n = 6
permutación 07132465, P_n = 7
permutación 07132546, P_n = 8
permutación 07132564, P_n = 7
permutación 07132645, P_n = 7
permutación 07132654, P_n = 6
permutación 07134256, P_n = 7
permutación 07134265, P_n = 6
permutación 07134526, P_n = 6
permutación 07134562, P_n = 5
permutación 07134625, P_n = 7
permutación 07134652, P_n = 6
permutación 07135246, P_n = 8
permutación 07135264, P_n = 8
permutación 07135426, P_n = 8
permutación 07135462, P_n = 8
permutación 07135624, P_n = 7
permutación 07135642, P_n = 7
permutación 07136245, P_n = 7
permutación 07136254, P_n = 7
permutación 07136425, P_n = 8
permutación 07136452, P_n = 7
permutación 07136524, P_n = 7
permutación 07136542, P_n = 6
permutación 07142356, P_n = 7
permutación 07142365, P_n = 6
permutación 07142536, P_n = 8
permutación 07142563, P_n = 7
permutación 07142635, P_n = 8
permutación 07142653, P_n = 7
permutación 07143256, P_n = 6
permutación 07143265, P_n = 7
permutación 07143526, P_n = 7
permutación 07143562, P_n = 6
permutación 07143625, P_n = 8
permutación 07143652, P_n = 7
permutación 07145236, P_n = 6
permutación 07145263, P_n = 7
permutación 07145326, P_n = 7
permutación 07145362, P_n = 7
permutación 07145623, P_n = 6
permutación 07145632, P_n = 5
permutación 07146235, P_n = 7
permutación 07146253, P_n = 8
permutación 07146325, P_n = 7
permutación 07146352, P_n = 8
permutación 07146523, P_n = 7
permutación 07146532, P_n = 6
permutación 07152346, P_n = 6
permutación 07152364, P_n = 7
permutación 07152436, P_n = 8
permutación 07152463, P_n = 8
permutación 07152634, P_n = 7
permutación 07152643, P_n = 7
permutación 07153246, P_n = 7
permutación 07153264, P_n = 8
permutación 07153426, P_n = 8
permutación 07153462, P_n = 7
permutación 07153624, P_n = 8
permutación 07153642, P_n = 8
permutación 07154236, P_n = 7
permutación 07154263, P_n = 7
permutación 07154326, P_n = 6
permutación 07154362, P_n = 6
permutación 07154623, P_n = 7
permutación 07154632, P_n = 6
permutación 07156234, P_n = 6
permutación 07156243, P_n = 7
permutación 07156324, P_n = 7
permutación 07156342, P_n = 7
permutación 07156423, P_n = 6
permutación 07156432, P_n = 5
permutación 07162345, P_n = 5
permutación 07162354, P_n = 6
permutación 07162435, P_n = 8
permutación 07162453, P_n = 7
permutación 07162534, P_n = 7
permutación 07162543, P_n = 6
permutación 07163245, P_n = 6
permutación 07163254, P_n = 7
permutación 07163425, P_n = 7
permutación 07163452, P_n = 7
permutación 07163524, P_n = 8
permutación 07163542, P_n = 7
permutación 07164235, P_n = 7
permutación 07164253, P_n = 8
permutación 07164325, P_n = 6
permutación 07164352, P_n = 7
permutación 07164523, P_n = 7
permutación 07164532, P_n = 7
permutación 07165234, P_n = 5
permutación 07165243, P_n = 6
permutación 07165324, P_n = 6
permutación 07165342, P_n = 7
permutación 07165423, P_n = 5
permutación 07165432, P_n = 4
permutación 07213456, P_n = 5
permutación 07213465, P_n = 6
permutación 07213546, P_n = 8
permutación 07213564, P_n = 7
permutación 07213645, P_n = 7
permutación 07213654, P_n = 6
permutación 07214356, P_n = 7
permutación 07214365, P_n = 8
permutación 07214536, P_n = 7
permutación 07214563, P_n = 7
permutación 07214635, P_n = 8
permutación 07214653, P_n = 8
permutación 07215346, P_n = 7
permutación 07215364, P_n = 8
permutación 07215436, P_n = 7
permutación 07215463, P_n = 8
permutación 07215634, P_n = 7
permutación 07215643, P_n = 7
permutación 07216345, P_n = 7
permutación 07216354, P_n = 8
permutación 07216435, P_n = 8
permutación 07216453, P_n = 8
permutación 07216534, P_n = 7
permutación 07216543, P_n = 6
permutación 07231456, P_n = 5
permutación 07231465, P_n = 6
permutación 07231546, P_n = 7
permutación 07231564, P_n = 7
permutación 07231645, P_n = 7
permutación 07231654, P_n = 6
permutación 07234156, P_n = 5
permutación 07234165, P_n = 6
permutación 07234516, P_n = 5
permutación 07234561, P_n = 5
permutación 07234615, P_n = 6
permutación 07234651, P_n = 6
permutación 07235146, P_n = 7
permutación 07235164, P_n = 7
permutación 07235416, P_n = 6
permutación 07235461, P_n = 8
permutación 07235614, P_n = 7
permutación 07235641, P_n = 7
permutación 07236145, P_n = 7
permutación 07236154, P_n = 6
permutación 07236415, P_n = 7
permutación 07236451, P_n = 7
permutación 07236514, P_n = 6
permutación 07236541, P_n = 6
permutación 07241356, P_n = 7
permutación 07241365, P_n = 8
permutación 07241536, P_n = 8
permutación 07241563, P_n = 7
permutación 07241635, P_n = 8
permutación 07241653, P_n = 8
permutación 07243156, P_n = 6
permutación 07243165, P_n = 7
permutación 07243516, P_n = 8
permutación 07243561, P_n = 8
permutación 07243615, P_n = 8
permutación 07243651, P_n = 8
permutación 07245136, P_n = 7
permutación 07245163, P_n = 7
permutación 07245316, P_n = 7
permutación 07245361, P_n = 8
permutación 07245613, P_n = 7
permutación 07245631, P_n = 7
permutación 07246135, P_n = 8
permutación 07246153, P_n = 8
permutación 07246315, P_n = 8
permutación 07246351, P_n = 9
permutación 07246513, P_n = 8
permutación 07246531, P_n = 8
permutación 07251346, P_n = 7
permutación 07251364, P_n = 8
permutación 07251436, P_n = 8
permutación 07251463, P_n = 8
permutación 07251634, P_n = 8
permutación 07251643, P_n = 7
permutación 07253146, P_n = 8
permutación 07253164, P_n = 8
permutación 07253416, P_n = 7
permutación 07253461, P_n = 8
permutación 07253614, P_n = 8
permutación 07253641, P_n = 9
permutación 07254136, P_n = 8
permutación 07254163, P_n = 8
permutación 07254316, P_n = 6
permutación 07254361, P_n = 8
permutación 07254613, P_n = 8
permutación 07254631, P_n = 8
permutación 07256134, P_n = 7
permutación 07256143, P_n = 7
permutación 07256314, P_n = 7
permutación 07256341, P_n = 8
permutación 07256413, P_n = 7
permutación 07256431, P_n = 7
permutación 07261345, P_n = 7
permutación 07261354, P_n = 8
permutación 07261435, P_n = 8
permutación 07261453, P_n = 8
permutación 07261534, P_n = 7
permutación 07261543, P_n = 6
permutación 07263145, P_n = 7
permutación 07263154, P_n = 7
permutación 07263415, P_n = 7
permutación 07263451, P_n = 7
permutación 07263514, P_n = 8
permutación 07263541, P_n = 8
permutación 07264135, P_n = 8
permutación 07264153, P_n = 8
permutación 07264315, P_n = 7
permutación 07264351, P_n = 8
permutación 07264513, P_n = 7
permutación 07264531, P_n = 9
permutación 07265134, P_n = 7
permutación 07265143, P_n = 6
permutación 07265314, P_n = 7
permutación 07265341, P_n = 7
permutación 07265413, P_n = 6
permutación 07265431, P_n = 6
permutación 07312456, P_n = 5
permutación 07312465, P_n = 6
permutación 07312546, P_n = 7
permutación 07312564, P_n = 7
permutación 07312645, P_n = 7
permutación 07312654, P_n = 6
permutación 07314256, P_n = 7
permutación 07314265, P_n = 8
permutación 07314526, P_n = 7
permutación 07314562, P_n = 7
permutación 07314625, P_n = 8
permutación 07314652, P_n = 8
permutación 07315246, P_n = 8
permutación 07315264, P_n = 9
permutación 07315426, P_n = 8
permutación 07315462, P_n = 8
permutación 07315624, P_n = 8
permutación 07315642, P_n = 7
permutación 07316245, P_n = 7
permutación 07316254, P_n = 8
permutación 07316425, P_n = 8
permutación 07316452, P_n = 7
permutación 07316524, P_n = 7
permutación 07316542, P_n = 6
permutación 07321456, P_n = 5
permutación 07321465, P_n = 6
permutación 07321546, P_n = 7
permutación 07321564, P_n = 7
permutación 07321645, P_n = 7
permutación 07321654, P_n = 6
permutación 07324156, P_n = 7
permutación 07324165, P_n = 7
permutación 07324516, P_n = 7
permutación 07324561, P_n = 6
permutación 07324615, P_n = 8
permutación 07324651, P_n = 7
permutación 07325146, P_n = 8
permutación 07325164, P_n = 8
permutación 07325416, P_n = 8
permutación 07325461, P_n = 8
permutación 07325614, P_n = 7
permutación 07325641, P_n = 7
permutación 07326145, P_n = 7
permutación 07326154, P_n = 8
permutación 07326415, P_n = 8
permutación 07326451, P_n = 7
permutación 07326514, P_n = 7
permutación 07326541, P_n = 6
permutación 07341256, P_n = 5
permutación 07341265, P_n = 6
permutación 07341526, P_n = 7
permutación 07341562, P_n = 7
permutación 07341625, P_n = 7
permutación 07341652, P_n = 7
permutación 07342156, P_n = 6
permutación 07342165, P_n = 7
permutación 07342516, P_n = 7
permutación 07342561, P_n = 7
permutación 07342615, P_n = 8
permutación 07342651, P_n = 7
permutación 07345126, P_n = 5
permutación 07345162, P_n = 7
permutación 07345216, P_n = 6
permutación 07345261, P_n = 7
permutación 07345612, P_n = 5
permutación 07345621, P_n = 5
permutación 07346125, P_n = 6
permutación 07346152, P_n = 8
permutación 07346215, P_n = 7
permutación 07346251, P_n = 8
permutación 07346512, P_n = 6
permutación 07346521, P_n = 6
permutación 07351246, P_n = 7
permutación 07351264, P_n = 7
permutación 07351426, P_n = 8
permutación 07351462, P_n = 8
permutación 07351624, P_n = 8
permutación 07351642, P_n = 8
permutación 07352146, P_n = 8
permutación 07352164, P_n = 8
permutación 07352416, P_n = 8
permutación 07352461, P_n = 9
permutación 07352614, P_n = 9
permutación 07352641, P_n = 9
permutación 07354126, P_n = 6
permutación 07354162, P_n = 8
permutación 07354216, P_n = 7
permutación 07354261, P_n = 8
permutación 07354612, P_n = 8
permutación 07354621, P_n = 8
permutación 07356124, P_n = 7
permutación 07356142, P_n = 8
permutación 07356214, P_n = 7
permutación 07356241, P_n = 8
permutación 07356412, P_n = 7
permutación 07356421, P_n = 7
permutación 07361245, P_n = 7
permutación 07361254, P_n = 6
permutación 07361425, P_n = 8
permutación 07361452, P_n = 8
permutación 07361524, P_n = 8
permutación 07361542, P_n = 8
permutación 07362145, P_n = 7
permutación 07362154, P_n = 7
permutación 07362415, P_n = 9
permutación 07362451, P_n = 8
permutación 07362514, P_n = 8
permutación 07362541, P_n = 8
permutación 07364125, P_n = 7
permutación 07364152, P_n = 9
permutación 07364215, P_n = 8
permutación 07364251, P_n = 9
permutación 07364512, P_n = 7
permutación 07364521, P_n = 7
permutación 07365124, P_n = 6
permutación 07365142, P_n = 8
permutación 07365214, P_n = 7
permutación 07365241, P_n = 8
permutación 07365412, P_n = 6
permutación 07365421, P_n = 6
permutación 07412356, P_n = 5
permutación 07412365, P_n = 6
permutación 07412536, P_n = 7
permutación 07412563, P_n = 7
permutación 07412635, P_n = 7
permutación 07412653, P_n = 6
permutación 07413256, P_n = 6
permutación 07413265, P_n = 7
permutación 07413526, P_n = 8
permutación 07413562, P_n = 7
permutación 07413625, P_n = 8
permutación 07413652, P_n = 8
permutación 07415236, P_n = 7
permutación 07415263, P_n = 8
permutación 07415326, P_n = 8
permutación 07415362, P_n = 8
permutación 07415623, P_n = 7
permutación 07415632, P_n = 7
permutación 07416235, P_n = 7
permutación 07416253, P_n = 8
permutación 07416325, P_n = 8
permutación 07416352, P_n = 8
permutación 07416523, P_n = 7
permutación 07416532, P_n = 6
permutación 07421356, P_n = 7
permutación 07421365, P_n = 7
permutación 07421536, P_n = 8
permutación 07421563, P_n = 7
permutación 07421635, P_n = 8
permutación 07421653, P_n = 7
permutación 07423156, P_n = 7
permutación 07423165, P_n = 7
permutación 07423516, P_n = 7
permutación 07423561, P_n = 7
permutación 07423615, P_n = 8
permutación 07423651, P_n = 7
permutación 07425136, P_n = 8
permutación 07425163, P_n = 9
permutación 07425316, P_n = 8
permutación 07425361, P_n = 9
permutación 07425613, P_n = 8
permutación 07425631, P_n = 8
permutación 07426135, P_n = 8
permutación 07426153, P_n = 8
permutación 07426315, P_n = 9
permutación 07426351, P_n = 9
permutación 07426513, P_n = 8
permutación 07426531, P_n = 8
permutación 07431256, P_n = 6
permutación 07431265, P_n = 6
permutación 07431526, P_n = 8
permutación 07431562, P_n = 7
permutación 07431625, P_n = 8
permutación 07431652, P_n = 6
permutación 07432156, P_n = 5
permutación 07432165, P_n = 6
permutación 07432516, P_n = 7
permutación 07432561, P_n = 6
permutación 07432615, P_n = 7
permutación 07432651, P_n = 6
permutación 07435126, P_n = 7
permutación 07435162, P_n = 8
permutación 07435216, P_n = 7
permutación 07435261, P_n = 8
permutación 07435612, P_n = 6
permutación 07435621, P_n = 6
permutación 07436125, P_n = 7
permutación 07436152, P_n = 8
permutación 07436215, P_n = 7
permutación 07436251, P_n = 8
permutación 07436512, P_n = 6
permutación 07436521, P_n = 6
permutación 07451236, P_n = 5
permutación 07451263, P_n = 7
permutación 07451326, P_n = 6
permutación 07451362, P_n = 7
permutación 07451623, P_n = 7
permutación 07451632, P_n = 7
permutación 07452136, P_n = 7
permutación 07452163, P_n = 8
permutación 07452316, P_n = 7
permutación 07452361, P_n = 7
permutación 07452613, P_n = 8
permutación 07452631, P_n = 8
permutación 07453126, P_n = 7
permutación 07453162, P_n = 8
permutación 07453216, P_n = 6
permutación 07453261, P_n = 7
permutación 07453612, P_n = 7
permutación 07453621, P_n = 7
permutación 07456123, P_n = 5
permutación 07456132, P_n = 6
permutación 07456213, P_n = 7
permutación 07456231, P_n = 7
permutación 07456312, P_n = 6
permutación 07456321, P_n = 5
permutación 07461235, P_n = 6
permutación 07461253, P_n = 8
permutación 07461325, P_n = 7
permutación 07461352, P_n = 8
permutación 07461523, P_n = 8
permutación 07461532, P_n = 8
permutación 07462135, P_n = 8
permutación 07462153, P_n = 8
permutación 07462315, P_n = 8
permutación 07462351, P_n = 8
permutación 07462513, P_n = 9
permutación 07462531, P_n = 9
permutación 07463125, P_n = 8
permutación 07463152, P_n = 8
permutación 07463215, P_n = 7
permutación 07463251, P_n = 8
permutación 07463512, P_n = 8
permutación 07463521, P_n = 8
permutación 07465123, P_n = 6
permutación 07465132, P_n = 7
permutación 07465213, P_n = 7
permutación 07465231, P_n = 7
permutación 07465312, P_n = 7
permutación 07465321, P_n = 6
permutación 07512346, P_n = 5
permutación 07512364, P_n = 6
permutación 07512436, P_n = 6
permutación 07512463, P_n = 7
permutación 07512634, P_n = 7
permutación 07512643, P_n = 6
permutación 07513246, P_n = 8
permutación 07513264, P_n = 8
permutación 07513426, P_n = 7
permutación 07513462, P_n = 7
permutación 07513624, P_n = 8
permutación 07513642, P_n = 8
permutación 07514236, P_n = 7
permutación 07514263, P_n = 8
permutación 07514326, P_n = 6
permutación 07514362, P_n = 8
permutación 07514623, P_n = 8
permutación 07514632, P_n = 7
permutación 07516234, P_n = 7
permutación 07516243, P_n = 7
permutación 07516324, P_n = 7
permutación 07516342, P_n = 8
permutación 07516423, P_n = 7
permutación 07516432, P_n = 6
permutación 07521346, P_n = 7
permutación 07521364, P_n = 8
permutación 07521436, P_n = 8
permutación 07521463, P_n = 8
permutación 07521634, P_n = 7
permutación 07521643, P_n = 8
permutación 07523146, P_n = 7
permutación 07523164, P_n = 7
permutación 07523416, P_n = 7
permutación 07523461, P_n = 7
permutación 07523614, P_n = 8
permutación 07523641, P_n = 8
permutación 07524136, P_n = 8
permutación 07524163, P_n = 8
permutación 07524316, P_n = 8
permutación 07524361, P_n = 8
permutación 07524613, P_n = 9
permutación 07524631, P_n = 9
permutación 07526134, P_n = 8
permutación 07526143, P_n = 8
permutación 07526314, P_n = 9
permutación 07526341, P_n = 8
permutación 07526413, P_n = 8
permutación 07526431, P_n = 8
permutación 07531246, P_n = 7
permutación 07531264, P_n = 7
permutación 07531426, P_n = 8
permutación 07531462, P_n = 8
permutación 07531624, P_n = 8
permutación 07531642, P_n = 8
permutación 07532146, P_n = 7
permutación 07532164, P_n = 7
permutación 07532416, P_n = 8
permutación 07532461, P_n = 8
permutación 07532614, P_n = 8
permutación 07532641, P_n = 8
permutación 07534126, P_n = 7
permutación 07534162, P_n = 7
permutación 07534216, P_n = 7
permutación 07534261, P_n = 9
permutación 07534612, P_n = 7
permutación 07534621, P_n = 7
permutación 07536124, P_n = 8
permutación 07536142, P_n = 8
permutación 07536214, P_n = 8
permutación 07536241, P_n = 9
permutación 07536412, P_n = 8
permutación 07536421, P_n = 8
permutación 07541236, P_n = 6
permutación 07541263, P_n = 6
permutación 07541326, P_n = 7
permutación 07541362, P_n = 8
permutación 07541623, P_n = 7
permutación 07541632, P_n = 6
permutación 07542136, P_n = 7
permutación 07542163, P_n = 7
permutación 07542316, P_n = 7
permutación 07542361, P_n = 7
permutación 07542613, P_n = 8
permutación 07542631, P_n = 8
permutación 07543126, P_n = 6
permutación 07543162, P_n = 6
permutación 07543216, P_n = 5
permutación 07543261, P_n = 6
permutación 07543612, P_n = 6
permutación 07543621, P_n = 6
permutación 07546123, P_n = 6
permutación 07546132, P_n = 7
permutación 07546213, P_n = 7
permutación 07546231, P_n = 7
permutación 07546312, P_n = 7
permutación 07546321, P_n = 6
permutación 07561234, P_n = 5
permutación 07561243, P_n = 6
permutación 07561324, P_n = 8
permutación 07561342, P_n = 7
permutación 07561423, P_n = 7
permutación 07561432, P_n = 6
permutación 07562134, P_n = 7
permutación 07562143, P_n = 7
permutación 07562314, P_n = 7
permutación 07562341, P_n = 7
permutación 07562413, P_n = 8
permutación 07562431, P_n = 7
permutación 07563124, P_n = 7
permutación 07563142, P_n = 7
permutación 07563214, P_n = 7
permutación 07563241, P_n = 7
permutación 07563412, P_n = 7
permutación 07563421, P_n = 7
permutación 07564123, P_n = 6
permutación 07564132, P_n = 7
permutación 07564213, P_n = 7
permutación 07564231, P_n = 8
permutación 07564312, P_n = 6
permutación 07564321, P_n = 5
permutación 07612345, P_n = 4
permutación 07612354, P_n = 5
permutación 07612435, P_n = 7
permutación 07612453, P_n = 6
permutación 07612534, P_n = 6
permutación 07612543, P_n = 5
permutación 07613245, P_n = 7
permutación 07613254, P_n = 7
permutación 07613425, P_n = 7
permutación 07613452, P_n = 6
permutación 07613524, P_n = 8
permutación 07613542, P_n = 7
permutación 07614235, P_n = 7
permutación 07614253, P_n = 8
permutación 07614325, P_n = 7
permutación 07614352, P_n = 7
permutación 07614523, P_n = 6
permutación 07614532, P_n = 6
permutación 07615234, P_n = 6
permutación 07615243, P_n = 7
permutación 07615324, P_n = 7
permutación 07615342, P_n = 7
permutación 07615423, P_n = 6
permutación 07615432, P_n = 5
permutación 07621345, P_n = 5
permutación 07621354, P_n = 6
permutación 07621435, P_n = 7
permutación 07621453, P_n = 7
permutación 07621534, P_n = 7
permutación 07621543, P_n = 6
permutación 07623145, P_n = 6
permutación 07623154, P_n = 7
permutación 07623415, P_n = 6
permutación 07623451, P_n = 5
permutación 07623514, P_n = 7
permutación 07623541, P_n = 6
permutación 07624135, P_n = 8
permutación 07624153, P_n = 8
permutación 07624315, P_n = 7
permutación 07624351, P_n = 8
permutación 07624513, P_n = 7
permutación 07624531, P_n = 7
permutación 07625134, P_n = 7
permutación 07625143, P_n = 7
permutación 07625314, P_n = 8
permutación 07625341, P_n = 7
permutación 07625413, P_n = 7
permutación 07625431, P_n = 6
permutación 07631245, P_n = 6
permutación 07631254, P_n = 7
permutación 07631425, P_n = 8
permutación 07631452, P_n = 7
permutación 07631524, P_n = 8
permutación 07631542, P_n = 7
permutación 07632145, P_n = 5
permutación 07632154, P_n = 6
permutación 07632415, P_n = 7
permutación 07632451, P_n = 6
permutación 07632514, P_n = 7
permutación 07632541, P_n = 6
permutación 07634125, P_n = 6
permutación 07634152, P_n = 7
permutación 07634215, P_n = 6
permutación 07634251, P_n = 7
permutación 07634512, P_n = 5
permutación 07634521, P_n = 6
permutación 07635124, P_n = 7
permutación 07635142, P_n = 8
permutación 07635214, P_n = 7
permutación 07635241, P_n = 8
permutación 07635412, P_n = 6
permutación 07635421, P_n = 7
permutación 07641235, P_n = 6
permutación 07641253, P_n = 7
permutación 07641325, P_n = 7
permutación 07641352, P_n = 8
permutación 07641523, P_n = 7
permutación 07641532, P_n = 7
permutación 07642135, P_n = 7
permutación 07642153, P_n = 7
permutación 07642315, P_n = 7
permutación 07642351, P_n = 7
permutación 07642513, P_n = 8
permutación 07642531, P_n = 8
permutación 07643125, P_n = 6
permutación 07643152, P_n = 7
permutación 07643215, P_n = 5
permutación 07643251, P_n = 6
permutación 07643512, P_n = 6
permutación 07643521, P_n = 7
permutación 07645123, P_n = 5
permutación 07645132, P_n = 6
permutación 07645213, P_n = 7
permutación 07645231, P_n = 7
permutación 07645312, P_n = 7
permutación 07645321, P_n = 6
permutación 07651234, P_n = 4
permutación 07651243, P_n = 5
permutación 07651324, P_n = 7
permutación 07651342, P_n = 6
permutación 07651423, P_n = 6
permutación 07651432, P_n = 5
permutación 07652134, P_n = 5
permutación 07652143, P_n = 6
permutación 07652314, P_n = 6
permutación 07652341, P_n = 5
permutación 07652413, P_n = 7
permutación 07652431, P_n = 6
permutación 07653124, P_n = 6
permutación 07653142, P_n = 7
permutación 07653214, P_n = 5
permutación 07653241, P_n = 6
permutación 07653412, P_n = 5
permutación 07653421, P_n = 6
permutación 07654123, P_n = 4
permutación 07654132, P_n = 5
permutación 07654213, P_n = 5
permutación 07654231, P_n = 5
permutación 07654312, P_n = 4
permutación 07654321, P_n = 3
permutación 10234567, P_n = 1
permutación 10234576, P_n = 4
permutación 10234657, P_n = 4
permutación 10234675, P_n = 5
permutación 10234756, P_n = 5
permutación 10234765, P_n = 4
permutación 10235467, P_n = 4
permutación 10235476, P_n = 6
permutación 10235647, P_n = 5
permutación 10235674, P_n = 5
permutación 10235746, P_n = 7
permutación 10235764, P_n = 6
permutación 10236457, P_n = 5
permutación 10236475, P_n = 7
permutación 10236547, P_n = 4
permutación 10236574, P_n = 6
permutación 10236745, P_n = 5
permutación 10236754, P_n = 5
permutación 10237456, P_n = 5
permutación 10237465, P_n = 6
permutación 10237546, P_n = 6
permutación 10237564, P_n = 7
permutación 10237645, P_n = 5
permutación 10237654, P_n = 4
permutación 10243567, P_n = 4
permutación 10243576, P_n = 7
permutación 10243657, P_n = 6
permutación 10243675, P_n = 6
permutación 10243756, P_n = 6
permutación 10243765, P_n = 6
permutación 10245367, P_n = 5
permutación 10245376, P_n = 6
permutación 10245637, P_n = 5
permutación 10245673, P_n = 5
permutación 10245736, P_n = 7
permutación 10245763, P_n = 6
permutación 10246357, P_n = 7
permutación 10246375, P_n = 8
permutación 10246537, P_n = 6
permutación 10246573, P_n = 8
permutación 10246735, P_n = 7
permutación 10246753, P_n = 7
permutación 10247356, P_n = 7
permutación 10247365, P_n = 7
permutación 10247536, P_n = 8
permutación 10247563, P_n = 7
permutación 10247635, P_n = 7
permutación 10247653, P_n = 6
permutación 10253467, P_n = 5
permutación 10253476, P_n = 6
permutación 10253647, P_n = 7
permutación 10253674, P_n = 7
permutación 10253746, P_n = 8
permutación 10253764, P_n = 7
permutación 10254367, P_n = 4
permutación 10254376, P_n = 6
permutación 10254637, P_n = 6
permutación 10254673, P_n = 6
permutación 10254736, P_n = 7
permutación 10254763, P_n = 7
permutación 10256347, P_n = 5
permutación 10256374, P_n = 7
permutación 10256437, P_n = 5
permutación 10256473, P_n = 7
permutación 10256734, P_n = 5
permutación 10256743, P_n = 5
permutación 10257346, P_n = 7
permutación 10257364, P_n = 8
permutación 10257436, P_n = 7
permutación 10257463, P_n = 8
permutación 10257634, P_n = 6
permutación 10257643, P_n = 6
permutación 10263457, P_n = 5
permutación 10263475, P_n = 7
permutación 10263547, P_n = 6
permutación 10263574, P_n = 8
permutación 10263745, P_n = 7
permutación 10263754, P_n = 7
permutación 10264357, P_n = 6
permutación 10264375, P_n = 7
permutación 10264537, P_n = 7
permutación 10264573, P_n = 7
permutación 10264735, P_n = 8
permutación 10264753, P_n = 8
permutación 10265347, P_n = 5
permutación 10265374, P_n = 7
permutación 10265437, P_n = 4
permutación 10265473, P_n = 6
permutación 10265734, P_n = 7
permutación 10265743, P_n = 6
permutación 10267345, P_n = 5
permutación 10267354, P_n = 6
permutación 10267435, P_n = 7
permutación 10267453, P_n = 7
permutación 10267534, P_n = 6
permutación 10267543, P_n = 5
permutación 10273456, P_n = 5
permutación 10273465, P_n = 6
permutación 10273546, P_n = 8
permutación 10273564, P_n = 7
permutación 10273645, P_n = 7
permutación 10273654, P_n = 6
permutación 10274356, P_n = 6
permutación 10274365, P_n = 7
permutación 10274536, P_n = 7
permutación 10274563, P_n = 7
permutación 10274635, P_n = 8
permutación 10274653, P_n = 7
permutación 10275346, P_n = 7
permutación 10275364, P_n = 8
permutación 10275436, P_n = 6
permutación 10275463, P_n = 7
permutación 10275634, P_n = 7
permutación 10275643, P_n = 7
permutación 10276345, P_n = 5
permutación 10276354, P_n = 6
permutación 10276435, P_n = 6
permutación 10276453, P_n = 7
permutación 10276534, P_n = 5
permutación 10276543, P_n = 4
permutación 10324567, P_n = 3
permutación 10324576, P_n = 6
permutación 10324657, P_n = 6
permutación 10324675, P_n = 7
permutación 10324756, P_n = 7
permutación 10324765, P_n = 6
permutación 10325467, P_n = 5
permutación 10325476, P_n = 7
permutación 10325647, P_n = 5
permutación 10325674, P_n = 5
permutación 10325746, P_n = 7
permutación 10325764, P_n = 6
permutación 10326457, P_n = 5
permutación 10326475, P_n = 7
permutación 10326547, P_n = 6
permutación 10326574, P_n = 7
permutación 10326745, P_n = 5
permutación 10326754, P_n = 6
permutación 10327456, P_n = 5
permutación 10327465, P_n = 6
permutación 10327546, P_n = 7
permutación 10327564, P_n = 7
permutación 10327645, P_n = 6
permutación 10327654, P_n = 6
permutación 10342567, P_n = 3
permutación 10342576, P_n = 6
permutación 10342657, P_n = 5
permutación 10342675, P_n = 5
permutación 10342756, P_n = 5
permutación 10342765, P_n = 6
permutación 10345267, P_n = 3
permutación 10345276, P_n = 5
permutación 10345627, P_n = 3
permutación 10345672, P_n = 3
permutación 10345726, P_n = 5
permutación 10345762, P_n = 4
permutación 10346257, P_n = 5
permutación 10346275, P_n = 6
permutación 10346527, P_n = 4
permutación 10346572, P_n = 6
permutación 10346725, P_n = 5
permutación 10346752, P_n = 5
permutación 10347256, P_n = 5
permutación 10347265, P_n = 6
permutación 10347526, P_n = 6
permutación 10347562, P_n = 5
permutación 10347625, P_n = 6
permutación 10347652, P_n = 4
permutación 10352467, P_n = 5
permutación 10352476, P_n = 7
permutación 10352647, P_n = 6
permutación 10352674, P_n = 6
permutación 10352746, P_n = 7
permutación 10352764, P_n = 7
permutación 10354267, P_n = 4
permutación 10354276, P_n = 6
permutación 10354627, P_n = 6
permutación 10354672, P_n = 6
permutación 10354726, P_n = 6
permutación 10354762, P_n = 6
permutación 10356247, P_n = 5
permutación 10356274, P_n = 7
permutación 10356427, P_n = 5
permutación 10356472, P_n = 6
permutación 10356724, P_n = 5
permutación 10356742, P_n = 5
permutación 10357246, P_n = 7
permutación 10357264, P_n = 7
permutación 10357426, P_n = 7
permutación 10357462, P_n = 7
permutación 10357624, P_n = 6
permutación 10357642, P_n = 6
permutación 10362457, P_n = 5
permutación 10362475, P_n = 7
permutación 10362547, P_n = 6
permutación 10362574, P_n = 7
permutación 10362745, P_n = 7
permutación 10362754, P_n = 6
permutación 10364257, P_n = 6
permutación 10364275, P_n = 7
permutación 10364527, P_n = 5
permutación 10364572, P_n = 6
permutación 10364725, P_n = 7
permutación 10364752, P_n = 7
permutación 10365247, P_n = 6
permutación 10365274, P_n = 6
permutación 10365427, P_n = 4
permutación 10365472, P_n = 6
permutación 10365724, P_n = 7
permutación 10365742, P_n = 6
permutación 10367245, P_n = 5
permutación 10367254, P_n = 6
permutación 10367425, P_n = 7
permutación 10367452, P_n = 6
permutación 10367524, P_n = 7
permutación 10367542, P_n = 5
